1,Hwy 401 & Weston (Crossroads),Toronto-North York,957096,236625,382200,POINT (-79.531037 43.712679)
2,St. Clair & Bathurst,Toronto-Central,43043,1125,6000,POINT (-79.415366 43.683997)
3,Dundas & Dovercourt,Toronto-Central,146885,42000,134550,POINT (-79.42351 43.649585)
4,Danforth & Broadview,Toronto-Central,366830,390000,658400,POINT (-79.356106 43.67688)
5,Queen & Coxwell (The Beach),Toronto-Central,423824,185100,213400,POINT (-79.314978 43.666877)
6,Queen & Lansdowne,Toronto-Central,290807,7500,82250,POINT (-79.43239 43.642136)
7,Eglinton & Dunfield,Toronto-Central,28191,65250,22750,POINT (-79.3948 43.707374)
8,St. Clair & Oakwood,Toronto-Central,183298,6750,29250,POINT (-79.433905 43.680158)
9,Bloor & Ossington,Toronto-Central,115553,NULL,50250,POINT (-79.425133 43.661944)
10,Yonge & Summerhill,Toronto-Central,810753,602050,446050,POINT (-79.390516 43.68089)
11,Gerrard & Pape,Toronto-Central,41398,3000,NULL,POINT (-79.341101 43.66818)
12,Parliament & Wellesly (Cabbagetown),Toronto-Central,34538,NULL,31500,POINT (-79.368661 43.665544)
13,Danforth & Greenwood,Toronto-Central,66960,NULL,27750,POINT (-79.333301 43.681034)
14,Spadina & Dundas,Toronto-Central,146426,6000,80550,POINT (-79.398469 43.654843)
15,Dupont & Spadina,Toronto-Central,296449,207375,166150,POINT (-79.405677 43.675325)
16,Yonge & Empress (Empress Walk),Toronto-North York,25548,2250,42600,POINT (-79.412504 43.768838)
17,Front & Sherbourne,Toronto-Central,192197,114750,93500,POINT (-79.364894 43.651216)
18,King & Dufferin (Liberty Village),Toronto-Central,285971,165750,159350,POINT (-79.419912 43.639925)
19,St. Clair & Keele (The Stockyards),Toronto-Central,256354,302625,454450,POINT (-79.472894 43.670479)
20,Lake Shore & Islington,Toronto-Etobicoke,176419,NULL,21750,POINT (-79.499292 43.602313)
21,Golf Links & Hwy 403 (Meadowlands),Ancaster,436587,22425,98500,POINT (-79.95496 43.226231)
22,Big Bay Point Rd & Yonge,Barrie,324381,70875,125250,POINT (-79.650842 44.356011)
23,Barton & Kenilworth (Centre Mall),Hamilton,487270,19125,104650,POINT (-79.81333 43.251816)
24,Clarence & Elm St,Port Colborne,83116,450,6750,POINT (-79.255131 42.885961)
25,Osler & Main W,Dundas,402429,114000,44150,POINT (-79.941243 43.257921)
26,York & Ridout,London,257336,3950,67050,POINT (-81.25184 42.98019)
27,Oxford St E & Gammage St,London,562634,9750,90750,POINT (-81.227089 43.003516)
28,Broad & Maple St,Dunnville,91674,14250,30750,POINT (-79.615577 42.90325)
30,Victoria & Durham St,Walkerton,NULL,15000,NULL,POINT (-81.147181 44.133793)
31,First & Pine,Collingwood,533759,30750,153600,POINT (-80.218285 44.502973)
32,University & Church,Windsor,98209,NULL,27000,POINT (-83.043376 42.316644)
33,Mcleod & Qew,Niagara Falls,153033,21775,123800,POINT (-79.121101 43.065997)
34,Walker & Ottawa,Windsor,213235,19500,21750,POINT (-83.001219 42.313571)
35,Lansdowne W & Parkway,Peterborough,314539,82350,58150,POINT (-78.339503 44.28233)
36,Hazeldean & Castlefrank (Market Square),Ottawa-Kanata,262804,24000,87100,POINT (-75.887426 45.300179)
38,Rideau & King Edward,Ottawa,450421,455625,358350,POINT (-75.68631 45.428756)
39,3rd & Albert St,Cobourg,122034,NULL,7500,POINT (-78.167699 43.958475)
40,Barrack & King,Kingston,192517,94875,37100,POINT (-76.480741 44.232974)
41,Industrial & St. Laurent (Trainyards),Ottawa,185191,15750,49800,POINT (-75.639729 45.410776)
42,King & John St,Brockville,NULL,NULL,4500,POINT (-75.6878 44.5876)
43,King St W & Victoria St,Kitchener,129626,30200,6300,POINT (-80.495458 43.452188)
44,Market S & Icomm,Brantford,108805,15000,41500,POINT (-80.261709 43.135525)
45,Sherbrooke & George,Peterborough,107679,6000,38150,POINT (-78.321327 44.30101)
46,Christina & George St,Sarnia,NULL,450,15750,POINT (-82.405685 42.97539)
47,King & Academy,St. Catharines,136798,16500,34250,POINT (-79.243622 43.161598)
48,Victoria & Valley Way,Niagara Falls,61737,7025,NULL,POINT (-79.073049 43.106212)
49,Second St & Glengarry Blvd,Cornwall,175154,NULL,46000,POINT (-74.704968 45.025045)
50,Elm & Paris St,Sudbury,61264,NULL,18250,POINT (-80.990836 46.492618)
51,Wellington & Gordon,Guelph,156319,3750,16550,POINT (-80.248151 43.546098)
52,Ontario & Southworth (Rose City Plaza),Welland,8041,24000,4250,POINT (-79.239729 42.97614)
53,Queen & King,Cookstown,61963,9000,11650,POINT (-79.708881 44.188993)
54,Worthington & Fraser St,North Bay,140331,NULL,69500,POINT (-79.462896 46.312902)
55,Pembroke St E & Angus Campbell Dr,Pembroke,146193,18000,8750,POINT (-77.081439 45.820838)
56,Hwy 401 & 2,Prescott,8987,NULL,NULL,POINT (-75.516434 44.70781)
57,Bell & N Front (Near Quinte Mall),Belleville,172424,58125,37500,POINT (-77.404896 44.187202)
58,Algonquin,Timmins,324005,45000,40500,POINT (-81.337054 48.477872)
59,Mary & Dunlop,Barrie,2838,NULL,8050,POINT (-79.692366 44.38894)
60,Wellington & St. Patrick,Stratford,186334,78750,25350,POINT (-80.983308 43.368968)
61,Wellington & Raleigh,Chatham,61737,9000,17750,POINT (-82.188145 42.403857)
62,First & Talbot St,St. Thomas,75927,18000,41500,POINT (-81.17698 42.778006)
63,Bay & Bruce (Station Mall),Sault Ste. Marie,103608,15750,34300,POINT (-84.338068 46.512082)
64,Dundas & Springbank,Woodstock,356162,69125,30750,POINT (-80.732119 43.13448)
65,Front & Division,Trenton,723958,64875,20250,POINT (-77.57917 44.103306)
67,Lakeshore & Broadway,Haileybury,9460,14250,NULL,POINT (-79.631899 47.449651)
68,Park & Railway St,Kenora,20339,NULL,9750,POINT (-94.482424 49.767685)
69,Third & Mowat St,Fort Frances,47434,3375,4900,POINT (-93.398536 48.612916)
70,Lombard St & Ferrara Dr,Smiths Falls,149468,4500,1500,POINT (-76.029731 44.890612)
71,King & Charles St,Gananoque,34529,375,NULL,POINT (-76.160782 44.330528)
